
XCCAQ,"{'F': '+CQCC[F+]+F', 'X': '', 'A': 'FFFF', 'Q': 'C-', 'C': '-[F]F'}",45,0.32,0.6
NNJ,"{'F': 'IF+JNJI+', 'J': 'II-F[I]J', 'N': '', 'I': 'FFFNF+INI'}",45,0.84,0.6
FH,"{'F': '++FHFF-', 'Q': '[F+Q]+F', 'Z': '[F]--', 'H': '-GZZGG-+', 'G': '[]+F+G-[QQ]'}",92,0.33,0.32
L,"{'F': '', 'L': 'LFFF+-N-', 'N': 'FF-B-NBF', 'X': 'FFX', 'B': '[]FFFLN+-N'}",45,0.24,0.1
FH,"{'F': 'D[F+HHF]FF', 'H': 'F+FH', 'D': '[[[]]FFD-]+'}",45,0.39,0.92
FFQX,"{'F': '[QF]U', 'Q': '', 'X': 'Q-', 'U': '-[F]FFQFFX'}",60,0.27,0.52
L,"{'F': '', 'L': '[B]-O-BLLL', 'O': 'UU-', 'U': 'L[+]BB', 'B': 'OBFFFF+LUL'}",60,0.46,0.06
FFYFY,"{'F': '-FFF', 'Y': 'FF[[+F++]F]-'}",45,0.91,0.84
C,"{'F': '[[[]+]]', 'C': '+[-]CFZC+FF', 'Z': '+FC', 'G': 'F+G-'}",356,0.2,0.02
P,"{'F': '[]C+AY+', 'P': 'FC[F+]P', 'Y': '[Y-[][PC]Y]+F', 'C': 'PF-A+PY', 'A': 'Y+Y'}",36,0.17,0.96
IFIII,"{'F': '[]++IFF', 'I': 'IF+IF+I'}",301,0.57,1.0
IFVL,"{'F': '+FF[+]FFV', 'I': '[F[L]FL]F', 'L': 'VFLV-', 'V': '[]LVFFIF'}",38,0.88,0.24
FEEES,"{'F': '[]FFE', 'E': '[F-]SF-F', 'S': ''}",90,0.41,0.7
L,"{'F': 'L', 'L': '', 'C': ''}",45,0.06,0.0
BFF,"{'F': 'BUF[TBU]F', 'U': '[]', 'T': '-FU-U', 'B': 'FFUU-U'}",45,0.24,0.68
E,"{'F': '-F-F-E-E+', 'E': 'E[-+EFE-]WF', 'W': ''}",152,0.25,0.22
VF,"{'F': '[+F+[]F]F', 'V': 'N-[N-[-]F]V', 'N': 'NN+NF+V-N'}",90,0.28,0.74
LJHFL,"{'F': '[]H', 'L': 'J[UFH]L', 'J': 'J', 'U': 'UL', 'H': '---J'}",60,0.28,0.0
LJHFL,"{'F': '[]H', 'L': 'J[UFH]L', 'J': 'J', 'U': 'UL', 'H': '---J'}",60,0.28,0.0
FHR,"{'F': '+RH-HH+H', 'R': '[F[++F]]F-', 'H': ''}",250,0.09,0.06
FAV,"{'F': '[F[]AF-[-]]', 'V': '[[F]]', 'A': 'F-V+-VVF'}",90,0.2,0.1
ZFNZ,"{'F': '-[J+J[]-Z]', 'N': 'ZF-++-', 'Z': '', 'J': '-J-'}",90,0.08,0.02
ISSF,"{'F': 'MMI', 'I': '-S[M-]SS-S', 'S': '[]-F', 'M': ''}",36,0.08,0.06
GQQQ,"{'F': 'U+', 'U': '-Q+QGG', 'Q': '', 'G': 'QUQ-F'}",90,0.07,0.06
V,"{'F': 'EE+E-E', 'E': 'NN', 'N': '-V', 'V': '-'}",90,0.06,0.0
PFLYY,"{'F': '[[]][-ZZ+FF]Y', 'Z': '[]YF', 'P': '', 'L': 'ZF', 'Y': '[]YP+-FY'}",198,0.23,0.34
L,"{'F': 'LFR', 'L': 'F', 'X': '', 'R': '[]', 'I': 'FFL+'}",45,0.07,0.1
FFOO,"{'F': '+', 'O': '+-+F+'}",45,0.06,0.0
PF,"{'F': '[P+++]', 'P': '[[+[P]]]FF'}",45,0.12,0.34
OI,"{'F': 'FFFFPFF-F', 'I': 'P', 'O': 'PFF-F', 'P': 'IP'}",36,0.91,0.42
F,"{'F': '[]-F', 'Z': '[Z]F-', 'P': '[]JJJFP', 'J': '+'}",60,0.06,0.0
LL,"{'F': '[]+[F]LF+X', 'L': '', 'X': ''}",350,0.06,0.0
ZFF,"{'F': '[]ZF-', 'Z': '[]-F'}",299,0.11,0.04
ZZ,"{'F': '[F]-Z', 'Z': '[]Z[ZF]ZFF'}",60,0.47,0.84
HB,"{'F': '+FF+FE', 'B': '+FF-LEFF+-', 'L': '+FF', 'H': '', 'E': '[FEFFFL]'}",90,0.76,0.9
MV,"{'F': 'FV+', 'C': '[+[M]M]', 'Y': '', 'M': '[+]', 'V': '[]++FC'}",21,0.07,0.06
WF,"{'F': 'W[L-A]L', 'R': '-F+L-AF-', 'W': 'W[F]FLRRW++', 'L': '[RR]+RW', 'A': '-+WL'}",60,0.37,0.32
YFYY,"{'F': 'XF--+F++F+', 'Y': '[[[E]]+F-E]', 'E': '', 'X': '[]'}",108,0.33,0.3
TVKV,"{'F': '[[K+]T]K', 'V': '[FF]FT+', 'K': 'FV', 'A': 'FKVF', 'T': 'KA'}",60,0.28,0.46
YYFYF,"{'F': '+FYM', 'Y': 'FJ[YF]', 'M': '[F]-', 'J': '--YF+M'}",60,0.34,0.86
ZFL,"{'F': '[+]', 'L': '[]F-FLLFLLF', 'Z': '[[]]-F'}",173,0.51,0.9
WFAW,"{'F': '[-[F]WW]', 'W': 'F', 'A': 'FFWAWFF'}",36,0.14,0.08
FFJ,"{'F': 'D[LL]-DJLFJ', 'D': 'DJF', 'V': 'DF', 'J': '[LJ]', 'L': 'D[V][F]V+LJD'}",90,0.61,0.82
FF,"{'F': '+F-', 'K': ''}",6,0.07,0.06
F,"{'F': '+F', 'Z': 'F[+]F+FZ+'}",36,0.06,0.06
NNF,"{'F': 'F+-', 'N': 'F-', 'G': '[FFFF]+N'}",60,0.07,0.06
F,"{'F': 'FFF-F', 'E': '-[-[F]F]-', 'J': 'F+FF+'}",90,0.71,0.92
F,"{'F': 'F[F]UUFU', 'U': '[]', 'W': 'MM+U++-FF', 'M': 'U'}",45,0.22,0.06
VSS,"{'F': 'M-V-', 'S': '[+MF-]FE+', 'V': 'S+E-', 'M': '[M[]+]F', 'E': 'F-EEV--MM'}",45,0.15,0.32
FF,"{'F': '[[+]]F', 'Y': 'FY-FF'}",196,0.07,0.08
FIFI,"{'F': '[]+I', 'I': 'FF[[II]]IF'}",60,0.33,0.22
SFSFF,"{'F': '-FFF-+-', 'S': '[]'}",60,0.69,0.1
FD,"{'F': '', 'D': '[]D[F[+]E]', 'E': '[D]F'}",60,0.07,0.06
NFN,"{'F': '[[-]]+', 'N': '[][N[-]FF]'}",95,0.07,0.08
FIIF,"{'F': 'FQ+FU+I', 'U': '[FU]', 'Q': 'F+UF[I+]IF', 'I': 'F-+QI[F--]F'}",60,0.49,0.36
J,"{'F': 'FFK', 'E': 'KF+FE+E-JJ', 'J': '+-JJEE++K', 'K': 'K[FK++]E'}",45,0.58,0.22
PFF,"{'F': 'AP---', 'P': 'CF+ACF', 'A': 'A', 'C': '+F'}",288,0.16,0.22
ZF,"{'F': 'FK+K+-K', 'K': '[]ZKFF', 'Z': 'K'}",36,0.52,0.18
D,"{'F': '[I[+FI]D-FW]', 'W': '', 'I': '[-]FD', 'D': '-FWDF--'}",273,0.2,0.32
ZFFFZ,"{'F': '[]', 'U': 'F', 'Z': 'F'}",36,0.06,0.06
AA,"{'F': '[A[++[[]]]]+', 'A': '[A]-F-'}",174,0.08,0.14
S,"{'F': '[]FSFFFS-+', 'S': '[FF-]+SFFFF'}",36,0.77,0.5
FZICC,"{'F': 'Z[I--]FIC-F', 'Z': '+WCZZ[F-]', 'C': '', 'W': '', 'I': 'FZ-++-'}",36,0.38,0.5
DDDK,"{'F': '[[]+F]', 'D': 'KFFK-', 'K': ''}",149,0.07,0.08
KF,"{'F': 'XK[FK+F]', 'K': '[KB]', 'R': 'FXFKK-FXBF', 'B': 'R[F-[RX]]F', 'X': '[]'}",90,0.35,0.72
WWF,"{'F': '[+-+F[WF]]W+', 'W': 'F--FFFF'}",90,0.4,0.52
OOR,"{'F': '[O]O+[R]--', 'O': '-', 'R': '+F[-F]RRR'}",45,0.24,0.82
F,"{'F': '[AA-FFCA+]P', 'C': 'FC', 'A': 'A-[[+]]CF', 'P': '[+[F[]]C-F]'}",45,0.34,0.22
IYYYI,"{'F': '-[IZZ]Y', 'Y': '[-]-', 'Z': '[]+', 'I': 'FF+IZ++-+Y'}",221,0.15,0.32
XFFC,"{'F': '[X]', 'L': '[+]', 'C': 'CX-IX', 'I': '+-FFFFCF-', 'X': '+[X]'}",330,0.13,0.14
GF,"{'F': 'FG', 'S': '[M[]S]G+', 'G': '-[FGMM]F', 'M': '[]F-S+S+'}",275,0.14,0.3
FNNYX,"{'F': 'NIIF', 'N': '', 'I': '[I]YNFNXI', 'X': '+[-]FNFFII', 'Y': 'F[FN-F]F'}",38,0.43,0.5
FFRF,"{'F': '-F', 'R': '[]FRF'}",352,0.09,0.72
RR,"{'F': '', 'K': 'LF[KF]U', 'R': '+F[U]KF+F', 'U': 'K[FR]L', 'L': '[RL]'}",224,0.27,0.26
TJTJ,"{'F': 'DTYFF++', 'Y': '', 'D': '-[[J[F]]]T', 'T': 'D[[F]FF]', 'J': 'D'}",90,0.37,0.22
