;;;;;Coinciden;Diferencia;;;;
XCCAQ;{'F': '+CQCC[F+]+F', 'X': '', 'A': 'FFFF', 'Q': 'C-', 'C': '-[F]F'};45;0.32;0.6;No;0.28;;;Análisis;
NNJ;{'F': 'IF+JNJI+', 'J': 'II-F[I]J', 'N': '', 'I': 'FFFNF+INI'};45;0.84;0.6;No;0.24;;;Total datos;118
FH;{'F': '++FHFF-', 'Q': '[F+Q]+F', 'Z': '[F]--', 'H': '-GZZGG-+', 'G': '[]+F+G-[QQ]'};92;0.33;0.32;No;0.01;;;Sistemas con calidad en %;8.47%
L;{'F': '', 'L': 'LFFF+-N-', 'N': 'FF-B-NBF', 'X': 'FFX', 'B': '[]FFFLN+-N'};45;0.24;0.1;No;0.14;;;X de cada 10;0.85
FH;{'F': 'D[F+HHF]FF', 'H': 'F+FH', 'D': '[[[]]FFD-]+'};45;0.39;0.92;No;0.53;;;Porcentaje de coincidencia;5.93%
FFQX;{'F': '[QF]U', 'Q': '', 'X': 'Q-', 'U': '-[F]FFQFFX'};60;0.27;0.52;No;0.25;;;Diferencia media;17.76%
L;{'F': '', 'L': '[B]-O-BLLL', 'O': 'UU-', 'U': 'L[+]BB', 'B': 'OBFFFF+LUL'};60;0.46;0.06;No;0.4;;;;
FFYFY;{'F': '-FFF', 'Y': 'FF[[+F++]F]-'};45;0.91;0.84;No;0.07;;;;
C;{'F': '[[[]+]]', 'C': '+[-]CFZC+FF', 'Z': '+FC', 'G': 'F+G-'};356;0.2;0.02;No;0.18;;;;
P;{'F': '[]C+AY+', 'P': 'FC[F+]P', 'Y': '[Y-[][PC]Y]+F', 'C': 'PF-A+PY', 'A': 'Y+Y'};36;0.17;0.96;No;0.79;;;;
IFIII;{'F': '[]++IFF', 'I': 'IF+IF+I'};301;0.57;1;No;0.43;;;;
IFVL;{'F': '+FF[+]FFV', 'I': '[F[L]FL]F', 'L': 'VFLV-', 'V': '[]LVFFIF'};38;0.88;0.24;No;0.64;;;;
FEEES;{'F': '[]FFE', 'E': '[F-]SF-F', 'S': ''};90;0.41;0.7;No;0.29;;;;
L;{'F': 'L', 'L': '', 'C': ''};45;0.06;0;No;0.06;;;;
BFF;{'F': 'BUF[TBU]F', 'U': '[]', 'T': '-FU-U', 'B': 'FFUU-U'};45;0.24;0.68;No;0.44;;;;
E;{'F': '-F-F-E-E+', 'E': 'E[-+EFE-]WF', 'W': ''};152;0.25;0.22;No;0.03;;;;
VF;{'F': '[+F+[]F]F', 'V': 'N-[N-[-]F]V', 'N': 'NN+NF+V-N'};90;0.28;0.74;No;0.46;;;;
LJHFL;{'F': '[]H', 'L': 'J[UFH]L', 'J': 'J', 'U': 'UL', 'H': '---J'};60;0.28;0;No;0.28;;;;
LJHFL;{'F': '[]H', 'L': 'J[UFH]L', 'J': 'J', 'U': 'UL', 'H': '---J'};60;0.28;0;No;0.28;;;;
FHR;{'F': '+RH-HH+H', 'R': '[F[++F]]F-', 'H': ''};250;0.09;0.06;No;0.03;;;;
FAV;{'F': '[F[]AF-[-]]', 'V': '[[F]]', 'A': 'F-V+-VVF'};90;0.2;0.1;No;0.1;;;;
ZFNZ;{'F': '-[J+J[]-Z]', 'N': 'ZF-++-', 'Z': '', 'J': '-J-'};90;0.08;0.02;No;0.06;;;;
ISSF;{'F': 'MMI', 'I': '-S[M-]SS-S', 'S': '[]-F', 'M': ''};36;0.08;0.06;No;0.02;;;;
GQQQ;{'F': 'U+', 'U': '-Q+QGG', 'Q': '', 'G': 'QUQ-F'};90;0.07;0.06;No;0.01;;;;
V;{'F': 'EE+E-E', 'E': 'NN', 'N': '-V', 'V': '-'};90;0.06;0;No;0.06;;;;
PFLYY;{'F': '[[]][-ZZ+FF]Y', 'Z': '[]YF', 'P': '', 'L': 'ZF', 'Y': '[]YP+-FY'};198;0.23;0.34;No;0.11;;;;
L;{'F': 'LFR', 'L': 'F', 'X': '', 'R': '[]', 'I': 'FFL+'};45;0.07;0.1;No;0.03;;;;
