F;{'F': 'OF-', 'O': 'F[LL]SFOSS', 'J': 'FJF+FFSFL', 'L': '-', 'S': '[-]+L+-'};206.00;0.30
UYFF;{'F': 'F', 'Y': '[Y]FFFF-UF', 'U': 'UYUUF+F+'};48.00;0.90
QQFDF;{'F': '[][FQ]FF+', 'Q': '-', 'D': '+-'};36.00;0.60
Q;{'F': '-FQQ', 'Q': '[+]F+RFF', 'Z': '[[+][]-F]', 'R': 'FFFZ+Z'};45.00;0.10
LL;{'F': '+FFFTLFF', 'L': '[T]+F', 'T': '+VLF', 'V': '[-[T]F]V'};90.00;0.70
O;{'F': 'ONFE[F]YF', 'Y': '[[E]E+N++]+', 'E': '-+YOYENNNE', 'O': '[N]', 'N': '[EO+[]OOE]'};45.00;0.30
HGG;{'F': '++G', 'G': '-F', 'H': 'HFG+', 'E': 'F+'};169.00;0.12
F;{'F': '[]+[[-[]SFF]]', 'Z': '[F+]S-', 'S': '-+FF--'};100.00;0.08
FF;{'F': 'Z-[+]F+F', 'Z': 'FFZ-F-'};60.00;0.20
F;{'F': 'Q+', 'L': '', 'Q': '-++FF+Q'};90.00;0.04
RARF;{'F': '+RTAA', 'T': '-T+FAF', 'A': 'A[FF]-', 'R': 'RARF'};45.00;0.30
FFXQ;{'F': '-Q[T]', 'D': 'XXQFF+T+', 'X': '+T', 'Q': '+QDQTT', 'T': 'FQXF'};60.00;0.30
AFFFK;{'F': 'FPKFPP', 'A': '-F+P-P', 'K': 'P', 'P': '[]PKKF'};60.00;0.02
RRFRF;{'F': '[FP[]F]-', 'K': 'F---FFRKFF', 'R': '[]+P-', 'P': 'FFRKFF-'};45.00;0.78
HP;{'F': '[]', 'P': '[]FF-P', 'H': 'P'};36.00;0.12
BALHL;{'F': '[F[FF]]', 'B': 'A[HH+[]+[L]F]', 'A': 'F-LFA-FBL', 'L': 'HA', 'H': '[BB]HBLFB'};45.00;0.64
DKKF;{'F': 'KFF-+-', 'K': '', 'D': 'F'};285.00;0.10
FFG;{'F': '-', 'G': '[+[]-F]'};36.00;0.00
FQF;{'F': '', 'Q': '+F', 'I': 'I+B+I', 'L': '[FFQ[[]+-I]]', 'B': '[Q]FIFQ-FL'};90.00;0.00
EEF;{'F': 'F', 'E': '[[][E-FF]E-E]'};258.00;0.04
OOH;{'F': '[GGFOFH-FG]', 'G': 'FO', 'H': 'F', 'O': '[FOG-++]FG'};60.00;0.90
QFUF;{'F': 'F[Q]IQ', 'Q': '[]FIIF[[UQ]-]', 'I': 'FI+-F+F+FF', 'U': 'U[-]FIIU+II'};90.00;0.90
VFTTV;{'F': 'TFTF+', 'T': '+F', 'V': '-[[T]+F-]+F+'};60.00;0.76
CFCCC;{'F': 'FFFFF', 'C': ''};90.00;0.00
KKKKK;{'F': 'KFFFFF', 'K': 'FK+KF'};45.00;0.60
FV;{'F': 'F[EE]FVVFEF', 'E': '', 'V': '-FEEF-'};223.00;0.40
RLRM;{'F': '[RL[[MFFV]]]', 'M': 'VF++', 'R': '[[]]-VF', 'L': '[]MVFL', 'V': ''};45.00;0.68
II;{'F': '[[K]]++-', 'I': '--FKF+', 'K': '[[[]-F]K+K][F]'};281.00;0.96
FI;{'F': '[[]I]++', 'H': 'I-I+ZFIHF', 'Z': 'FFIH', 'I': '[H]+'};60.00;0.94
JJNSS;{'F': 'S-TF+-NJSJ', 'T': 'FS++', 'S': 'S-', 'N': '[[FF+S]]T-+', 'J': '[][S]NTT+-'};281.00;0.28
FX;{'F': '-FFF', 'X': '[+]-F-FF'};36.00;0.96
DDAFQ;{'F': '++FDD', 'A': 'FD+', 'D': 'CDA+QQQF', 'C': 'Q+', 'Q': '[[[]][+]A-F-]F'};45.00;1.00
T;{'F': '[FFF]F', 'Y': 'TF', 'L': '+ITF[FFT]', 'T': '[-FYLT][-T]', 'I': 'I---F'};60.00;0.50
WFOF;{'F': '[F]F+--O-O', 'X': '[-][O+OF-]', 'W': '+W', 'O': 'WFF'};155.00;0.46
C;{'F': '[][N[]M]M', 'C': '[CF-]C', 'M': 'NNM', 'N': ''};95.00;0.00
SF;{'F': '[F]+', 'S': 'S'};36.00;0.00
MQFHQ;{'F': '+QH', 'M': 'QM[Q-]-FMM', 'H': '+', 'C': '+M', 'Q': '-F'};90.00;0.08
G;{'F': '[[]I]F', 'Z': '+QQ', 'G': 'ZG+G', 'I': 'FG-+Z[ZF-]', 'Q': 'Z'};90.00;0.20
FAFEX;{'F': '-I', 'A': 'FFEXEEFIF', 'I': 'FA', 'X': '[[EAA]A]+X', 'E': 'XEX'};60.00;0.24
F;{'F': '+ZQ+ZQFQZ-', 'Z': '[Q+-]', 'Q': '++Q'};135.00;0.58
FX;{'F': 'F-FF+-', 'X': 'F[-][X-F]'};60.00;0.78
F;{'F': 'F+H', 'Q': 'FY', 'Y': 'F[H]+H', 'H': 'FY'};60.00;0.34
JEF;{'F': '[+F+G-J]FFE', 'E': '[F]', 'G': 'J[G]EFFFMMG', 'M': '[M]', 'J': 'FGEEM'};90.00;1.00
EFFE;{'F': '[]EFFEF+', 'E': 'YFY-YF', 'Y': 'EFFYF'};90.00;1.00
CPPB;{'F': '[]FCCCBCA-', 'P': 'C+F+A', 'C': '[]F+', 'B': '[F]PF+', 'A': '[BFB+[F]]F'};60.00;0.96
HHH;{'F': '[]+F[-]F-H', 'H': '-+F'};36.00;0.38
ID;{'F': 'D[F]+F', 'I': 'FDFF-IDFF', 'D': 'DFF+D+-'};90.00;0.56
F;{'F': 'F-', 'S': 'K[S++K+]+-', 'K': '+FS-', 'G': 'K'};60.00;0.00
YEYFF;{'F': 'FI[D+E]', 'Y': '', 'E': '[][D]FYEI+', 'D': 'I[D]F', 'I': '-E--[IYF+]'};90.00;0.60
FN;{'F': '++-FF', 'W': '', 'N': 'F'};36.00;0.50
AA;{'F': '-', 'A': '', 'S': 'FAVVSV+', 'V': 'VVSS-'};36.00;0.00
VZ;{'F': '[-]', 'Z': '', 'V': 'I', 'U': '[Z]U[U]', 'I': ''};15.00;0.00
VSSVS;{'F': '[SF+]', 'V': '-F', 'S': 'F[S[]+F][-F]+'};36.00;0.82
FFEFE;{'F': '[[FE]]+', 'E': '-E[-]F-F'};45.00;0.82
WW;{'F': 'WW+FF-', 'W': '+', 'U': 'UWFFFC', 'C': 'FF-CW'};311.00;0.00
AZ;{'F': 'F+FFMR-', 'Z': 'R[FF]-', 'R': '[]FMFARF', 'M': '', 'A': '+[FAZM-]'};90.00;1.00
NZZN;{'F': '[FZ]-FZFF', 'Z': '[N+F]N-+', 'N': '-+FFNF-+F'};90.00;0.90
ID;{'F': 'F', 'D': 'F[D]DFF[D+]F', 'I': 'I[+F]-F--'};80.00;0.02
BIFFF;{'F': 'XFXIB', 'B': '[X]-', 'I': 'I[F]F', 'X': '[]B+'};45.00;0.34
I;{'F': '[[+]]', 'Y': 'F', 'I': '[]+'};90.00;0.00
N;{'F': '[]-', 'P': '[+]PF+P', 'N': 'P[+[F+FN]F]F'};45.00;0.46
MFMOF;{'F': '++-M-O', 'M': '[[MF]]-F', 'O': 'FO'};45.00;0.68
FF;{'F': 'F-FFFFQ', 'Q': 'F+'};45.00;0.72
XXFFP;{'F': 'P+PFJ+P', 'J': 'PP+-JJPF', 'P': 'XX+FFJ', 'X': '-'};151.00;0.76
C;{'F': '+', 'E': '', 'C': '-', 'X': 'FFE'};60.00;0.00
FOWF;{'F': '', 'O': '+-O', 'W': '[[]]FFF-'};90.00;0.02
APPDP;{'F': 'D', 'D': '[[]P--F]F', 'A': 'F', 'P': 'DPFFPDF', 'V': 'P'};45.00;0.06
TT;{'F': 'FF+FTT', 'T': '[]+FF[T-]--F'};202.00;0.98
FJJMJ;{'F': '[F]F[+F]-', 'M': 'F', 'J': '--JFF-J-+'};36.00;0.88
X;{'F': 'RR', 'V': 'FR', 'R': 'XJFJ', 'J': 'V-', 'X': 'F'};36.00;0.16
DFEE;{'F': 'GFD[-+FF]E', 'D': 'E[FF]F', 'Q': 'F[F]QGE-Q-', 'G': 'F[Q]E-', 'E': '[]FFFQF[+ED]'};344.00;0.84
P;{'F': '[]-FP+F++', 'H': 'PF--HF', 'P': '[]HF'};143.00;0.74
M;{'F': '', 'R': 'FM-[R+M]MQ', 'Y': '-FYR+-M[F]', 'Q': 'YF-++FFM', 'M': ''};60.00;0.00
M;{'F': 'FM', 'S': 'J[+-]MF+FJ', 'M': '[FF]S', 'J': ''};304.00;0.10
BB;{'F': '[FFM+]V', 'V': 'PPPV[BFP]M', 'B': 'B+', 'M': 'F+V+[-]', 'P': 'FFMFMMP'};45.00;0.06
FDDF;{'F': 'F[+[FF]]', 'D': '[[+]+D]'};45.00;0.32
PB;{'F': '-PYPFYB', 'Y': 'FYYFYB-QY', 'Q': '[F]YFY+--+', 'B': '+[Y]', 'P': '+FF'};36.00;0.50
ZK;{'F': '+FFR-+F-', 'Z': '[Y]++Z+', 'K': '[[[]RF-]-RF]', 'R': 'Z', 'Y': ''};90.00;0.14
M;{'F': '+', 'W': '[]M', 'M': '+F+'};45.00;0.00
FUFFX;{'F': '-', 'U': 'OFOO+++', 'X': '', 'M': 'FM-', 'O': '-'};168.00;0.00
W;{'F': '[-[]---]WF', 'W': 'F'};90.00;0.02
